name,source5,source5_expt2,gammaf5,eta,nt
AB0,10000000000.0,0.05,1000.0,1e-08,800
AB1,10000000000.0,0.1,1000.0,1e-08,800
AB2,10000000000.0,0.2,1000.0,1e-08,800
AB3,10000000000.0,0.4,1000.0,1e-08,800
