name,source5,source5_expt2,gammaf5,eta
AA0,100000000.0,0.05,1000.0,1e-06
AB0,1000000000.0,0.05,1000.0,1e-06
BA0,10000000000.0,0.05,1000.0,1e-06
BB0,100000000000.0,0.05,1000.0,1e-06
AA1,10000000000.0,0.05,1000.0,1e-06
AB1,10000000000.0,0.05,1000.0,1e-07
BA1,10000000000.0,0.05,1000.0,1e-08
BB1,10000000000.0,0.05,1000.0,1e-09
